Indicação de data e hora,Informe o horário que você começou a responder,"Dentro do contexto de sua organização, qual é o nome de sua função atual?",Faça um breve relato de suas principais atribuições.,"Considerando a sua atual ocupação, as suas atividade estão mais vinculadas com:",Você possui quanto tempo de experiência em desenvolvimento/manutenção de software?,Como você classifica o seu local de trabalho?,Qual é o tamanho de sua equipe?,Com qual frequência você está envolvido nas seguintes atividades? [Registrar Requisição de Mudança em uma FGRM],Com qual frequência você está envolvido nas seguintes atividades? [Decidir se uma Requisição de Mudança será aceita ou rejeitada e qual tipo de manutenção deverá ser aplicada.],Com qual frequência você está envolvido nas seguintes atividades? [Planejar a fila de Requisições de Mudança (RM) aceitas e atribuir atribuição das RM’s para o desenvolver mais apto.],Com qual frequência você está envolvido nas seguintes atividades? [Realizar as ações que irão solucionar a Requisição de Mudança.],Com qual frequência você está envolvido nas seguintes atividades? [Avaliar se uma Requisição de Mudança foi solucionada corretamente.],Com qual frequência você está envolvido nas seguintes atividades? [Definir os padrões e procedimentos que compõe o processo de manutenção que será utilizado.],Informe o nome da FGRM que você utiliza atualmente,Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Apache Bloodhound],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Assembla Tickets],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Axosoft],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [BMC Remedy Action Request System],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Bontq],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Brimir],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Bugzilla],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Debbugs],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [FogBugz],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Fossil SCM],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [FusionForge],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Gestionnaire libre de parc informatique],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [GNATS GNU],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Google Code Hosting],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [HP Quality Center],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [IBM Rational ClearQuest],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [IBM Rational Team Concert],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [JIRA Software],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Kayako SupportSuite],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Launchpad],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Liberum Help Desk],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Mantis Bug Tracker],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Microsoft Dynamics CRM],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [org-mode],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Open-source Ticket Request System],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Pivotal Tracker],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Plain Ticket],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Planbox],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [QuickBase],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Redmine],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Request Tracker],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Roundup Issue Tracker],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [StarTeam],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Supportworks],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [SysAid],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Targetprocess],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Team Foundation Server],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Twproject],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [TechExcel's DevTrack],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [TestTrack],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [The Bug Genie],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Trac Bug Tracking System],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [TrackerSuite.Net],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Tuleap],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Usersnap Bug Tracking System],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Web Help Desk],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Wrike Project management software],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [YouTrack],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [Zoho BugTracker],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [CA Service Desk],Para cada uma das  ferramentas listada a seguir pedimos que avalie a sua relevância dentro do domínio de aplicação das FGRM [SourceSafe],Você gostaria de receber o resultado desta pesquisa,Você gostaria de participar de outra pesquisa sobre esse mesmo tema?,Informe o horário que você terminou de responder,Deseja incluir informações adicionais ou fazer sugestões sobre esta pesquisa?
01/11/2016 10:18:25,10:11:00,Estagiário de desenvolvimento backend,"Desenvolver funções, denominadas de endpoints, que serão consumidos pelo frontend da plataforma. Estes endpoints estão relacionados basicamente a recuperação de informações provenientes do banco de dados (máquinas de busca)",manutenção e evolução de software já existentes,Estudante,Empresa privada de sotware,6 - 10,Algumas vezes no mês,Uma vez por mês,Uma vez por mês,Algumas vezes na semana,Algumas vezes no mês,Algumas vezes no mês,Jira,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Muito relevante,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Sim,Sim,10:17:00,"Infelizmente, eu sou inexperiente em questão de desenvolvimento de software e, portanto, não conheço a maioria das ferramentas listadas. Espero ter podido contribuir com a pesquisa. "
04/11/2016 15:40:50,15:33:00,Analista de Sistemas,"Analise e desenvolvimento de sistemas. Desenho de mockups e protótipos do sistema. Elicitação e Análise de Requisitos. Desenho dos diagramas entidade relacionamento do sistema, utilizando os padrões UML. Administração do banco de dados. ",desenvolvimento de novos softwares,3 - 10 anos,Empresa privada de sotware,Mais do que 10,Semanalmente,Semanalmente,Nunca,Algumas vezes no dia / diariamente,Algumas vezes no dia / diariamente,Uma vez por mês,Jira,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Muito relevante,Pouco relevante,Pouco relevante,Pouco relevante,Muito relevante,Pouco relevante,Pouco relevante,Pouco relevante,Relevante,Pouco relevante,Pouco relevante,Pouco relevante,Relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Pouco relevante,Relevante,Muito relevante,Muito relevante,Não,Não,03:40:00,
08/11/2016 11:48:51,11:45:00,CTO,Gerenciamento das equipes de tecnologia,desenvolvimento de novos softwares,10 - 20 anos,Empresa privada de sotware,Mais do que 10,Nunca,Semanalmente,Algumas vezes no mês,Algumas vezes no mês,Semanalmente,Semanalmente,JIRA,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Pouco relevante,Pouco relevante,Pouco relevante,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Pouco relevante,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Muito relevante,Não conheço a ferramenta,Pouco relevante,Não conheço a ferramenta,Não conheço a ferramenta,Nada relevante,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Relevante,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Não conheço a ferramenta,Pouco relevante,Nada relevante,Não conheço a ferramenta,Sim,Sim,11:49:00,
