"nome_ferramenta","relevancia","frequencia"
StarTeam,Pouco relevante,1
StarTeam,Relevante,1
Supportworks,Nada relevante,1
Supportworks,Não conheço a ferramenta,51
Supportworks,Pouco relevante,1
Supportworks,Relevante,1
SysAid,Nada relevante,1
SysAid,Não conheço a ferramenta,51
SysAid,Pouco relevante,1
SysAid,Relevante,1
Targetprocess,Nada relevante,1
Targetprocess,Não conheço a ferramenta,50
Targetprocess,Pouco relevante,1
Targetprocess,Relevante,2
Team Foundation Server,Muito relevante,4
Team Foundation Server,Nada relevante,2
Team Foundation Server,Não conheço a ferramenta,36
Team Foundation Server,Pouco relevante,7
Team Foundation Server,Relevante,5
TechExcel's DevTrack,Nada relevante,1
TechExcel's DevTrack,Não conheço a ferramenta,51
TechExcel's DevTrack,Pouco relevante,1
TechExcel's DevTrack,Relevante,1
TestTrack,Nada relevante,1
TestTrack,Não conheço a ferramenta,50
TestTrack,Pouco relevante,2
TestTrack,Relevante,1
The Bug Genie,Nada relevante,1
The Bug Genie,Não conheço a ferramenta,50
The Bug Genie,Pouco relevante,2
The Bug Genie,Relevante,1
Trac Bug Tracking System,Nada relevante,4
Trac Bug Tracking System,Não conheço a ferramenta,44
Trac Bug Tracking System,Pouco relevante,2
Trac Bug Tracking System,Relevante,4
TrackerSuite.Net,Nada relevante,1
TrackerSuite.Net,Não conheço a ferramenta,51
TrackerSuite.Net,Pouco relevante,1
TrackerSuite.Net,Relevante,1
Tuleap,Nada relevante,1
Tuleap,Não conheço a ferramenta,51
Tuleap,Pouco relevante,1
Tuleap,Relevante,1
Twproject,Nada relevante,1
Twproject,Não conheço a ferramenta,51
Twproject,Pouco relevante,1
Twproject,Relevante,1
Usersnap Bug Tracking System,Nada relevante,1
Usersnap Bug Tracking System,Não conheço a ferramenta,51
Usersnap Bug Tracking System,Pouco relevante,1
Usersnap Bug Tracking System,Relevante,1
Web Help Desk,Muito relevante,2
Web Help Desk,Nada relevante,1
Web Help Desk,Não conheço a ferramenta,47
Web Help Desk,Pouco relevante,3
Web Help Desk,Relevante,1
Wrike Project management software,Nada relevante,2
Wrike Project management software,Não conheço a ferramenta,49
Wrike Project management software,Pouco relevante,2
Wrike Project management software,Relevante,1
YouTrack,Muito relevante,3
YouTrack,Nada relevante,1
YouTrack,Não conheço a ferramenta,48
YouTrack,Pouco relevante,1
YouTrack,Relevante,1
Zoho BugTracker,Nada relevante,2
Zoho BugTracker,Não conheço a ferramenta,47
Zoho BugTracker,Pouco relevante,2
Zoho BugTracker,Relevante,3
