BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"978-0-7695-5007-7","Bissyande:2013:OSP:2549855.2549894","Bissyand{\'e}, Tegawend{\'e} F.; Thung, Ferdian; Lo, David; Jiang, Lingxiao & R{\'e}veill\`{e}re, Laurent","Orion: A Software Project Search Engine with Integrated Diverse Software Artifacts","",,,"","242--245",2013,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICECCS.2013.42","Proceedings of the 2013 18th International Conference on Engineering of Complex Computer Systems","","","ICECCS '13","","IEEE Computer Society","","","","","","","","","Project Search, Orion, GitHub, DSL","",""
6,"978-0-7695-4948-4","Bissyande:2013:EEB:2495256.2495765","Bissyande, Tegawende F.; Thung, Ferdian; Wang, Shaowei; Lo, David; Jiang, Lingxiao & Reveillere, Laurent","Empirical Evaluation of Bug Linking","",,,"","89--98",2013,"Washington, DC, USA","","http://dx.doi.org/10.1109/CSMR.2013.19","Proceedings of the 2013 17th European Conference on Software Maintenance and Reengineering","","","CSMR '13","","IEEE Computer Society","","","","","","","","","Bug Linking, empirical evaluation, benchmark, ReLink, missing links","",""
6,"978-1-4503-0576-1","Bortis:2011:TCB:1984642.1984659","Bortis, Gerald & van der Hoek, Andr{\'e}","Teambugs: A Collaborative Bug Tracking Tool","",,,"","69--71",2011,"New York, NY, USA","","http://doi.acm.org/10.1145/1984642.1984659","Proceedings of the 4th International Workshop on Cooperative and Human Aspects of Software Engineering","","","CHASE '11","","ACM","","","","","","","","","bug tracking, bug triaging","",""
6,"978-1-60558-795-0","Breu:2010:INB:1718918.1718973","Breu, Silvia; Premraj, Rahul; Sillito, Jonathan & Zimmermann, Thomas","Information Needs in Bug Reports: Improving Cooperation Between Developers and Users","",,,"","301--310",2010,"New York, NY, USA","","http://doi.acm.org/10.1145/1718918.1718973","Proceedings of the 2010 ACM Conference on Computer Supported Cooperative Work","","","CSCW '10","","ACM","","","","","","","","","bug reports, information needs, question time, questions, response rate, response time","",""
6,"978-1-4503-1241-7","Caglayan:2012:FCR:2365324.2365327","Caglayan, Bora; Misirli, Ayse Tosun; Miranskyy, Andriy; Turhan, Burak & Bener, Ayse","Factors Characterizing Reopened Issues: A Case Study","",,,"","1--10",2012,"New York, NY, USA","","http://doi.acm.org/10.1145/2365324.2365327","Proceedings of the 8th International Conference on Predictive Models in Software Engineering","","","PROMISE '12","","ACM","","","","","","","","","issue management, issue reopening, issue repository, software maintenance","",""
7,"","Callahan:1998:WIT:613212.613300","Callahan, John R.; Khatsuriya, Reshma R. & Hefner, Randy","Web-Based Issue Tracking for Large Software Projects","IEEE Internet Computing",2,5,"September","25--33",1998,"Piscataway, NJ, USA","","http://dx.doi.org/10.1109/4236.722227","","","","","","IEEE Educational Activities Department","","","","","","","","","","",""
6,"0-7695-2371-4","Canfora:2005:IAM:1090955.1092169","Canfora, Gerardo & Cerulo, Luigi","Impact Analysis by Mining Software and Change Request Repositories","",,,"","29--",2005,"Washington, DC, USA","","http://dx.doi.org/10.1109/METRICS.2005.28","Proceedings of the 11th IEEE International Software Metrics Symposium","","","METRICS '05","","IEEE Computer Society","","","","","","","","","","",""
6,"978-1-4503-1848-8","Cavalcanti:2013:TUS:2460999.2461028","Cavalcanti, Yguarat\ a Cerqueira; da Mota Silveira Neto, Paulo Anselmo; do Carmo Machado, Ivan; de Almeida, Eduardo Santana & de Lemos Meira, Silvio Romero","Towards Understanding Software Change Request Assignment: A Survey with Practitioners","",,,"","195--206",2013,"New York, NY, USA","","http://doi.acm.org/10.1145/2460999.2461028","Proceedings of the 17th International Conference on Evaluation and Assessment in Software Engineering","","","EASE '13","","ACM","","","","","","","","","bug tracking, bug triage, change request assignment, issue tracking, software maintenance","",""
7,"","Cavalcanti:2014:COS:2926386.2926390","Cavalcanti, Yguarat\ a Cerqueira; Mota Silveira Neto, Paulo Anselmo; Machado, Ivan do Carmo; Vale, Tassio Ferreira; Almeida, Eduardo Santana & Meira, Silvio Romero de Lemos","Challenges and Opportunities for Software Change Request Repositories: A Systematic Mapping Study","J. Softw. Evol. Process",26,7,"July","620--653",2014,"New York, NY, USA","","http://dx.doi.org/10.1002/smr.1639","","","","","","John Wiley \&amp; Sons, Inc.","","","","","","","","","bug report, bug tracking, change request repository, software evolution, software maintenance, software quality assurance","",""
7,"","Chaturvedi:2012:ECM:2531964.2531967","Chaturvedi, K. K. & Singh, V.B.","An Empirical Comparison of Machine Learning Techniques in Predicting the Bug Severity of Open and Closed Source Projects","Int. J. Open Source Softw. Process.",4,2,"April","32--59",2012,"Hershey, PA, USA","","http://dx.doi.org/10.4018/jossp.2012040103","","","","","","IGI Global","","","","","","","","","10-fold Cross Validation, Bug Repositories, Bug Severity, Multiclass Classification, Supervised Classification, Text Mining","",""
6,"978-1-4503-3432-7","Chawla:2015:AAB:2723742.2723751","Chawla, Indu & Singh, Sandeep K.","An Automated Approach for Bug Categorization Using Fuzzy Logic","",,,"","90--99",2015,"New York, NY, USA","","http://doi.acm.org/10.1145/2723742.2723751","Proceedings of the 8th India Software Engineering Conference","","","ISEC '15","","ACM","","","","","","","","","Bug Categorization, Bug Repository, Fuzzy Logic","",""
6,"978-1-4503-0589-1","Corley:2011:RTL:1987856.1987863","Corley, Christopher S.; Kraft, Nicholas A.; Etzkorn, Letha H. & Lukins, Stacy K.","Recovering Traceability Links Between Source Code and Fixed Bugs via Patch Analysis","",,,"","31--37",2011,"New York, NY, USA","","http://doi.acm.org/10.1145/1987856.1987863","Proceedings of the 6th International Workshop on Traceability in Emerging Forms of Software Engineering","","","TEFSE '11","","ACM","","","","","","","","","bug assignment, bug mapping, link recovery, mining software repositories, trace automation, traceability","",""
6,"978-1-4799-2144-7","Correa:2013:SBE:2623202.2623257","Correa, Denzil; Lal, Sangeeta; Saini, Apoorv & Sureka, Ashish","Samekana: A Browser Extension for Including Relevant Web Links in Issue Tracking System Discussion Forum","",,,"","25--33",2013,"Washington, DC, USA","","http://dx.doi.org/10.1109/APSEC.2013.15","Proceedings of the 2013 20th Asia-Pacific Software Engineering Conference (APSEC) - Volume 01","","","APSEC '13","","IEEE Computer Society","","","","","","","","","Mining Software Repositories (MSR), Empirical Software Engineering and Measurements (ESEM), Software Maintenance, Mining Bug Reports, Developer Productivity Tool","",""
6,"978-0-7695-4995-8","Correa:2013:IIT:2510148.2510214","Correa, Denzil & Sureka, Ashish","Integrating Issue Tracking Systems with Community-Based Question and Answering Websites","",,,"","88--96",2013,"Washington, DC, USA","","http://dx.doi.org/10.1109/ASWEC.2013.20","Proceedings of the 2013 22Nd Australian Conference on Software Engineering","","","ASWEC '13","","IEEE Computer Society","","","","","","","","","Mining Software Repositories (MSR), Empirical Software Engineering and Measurements (ESEM), Social Media for Software Engineering, Software Maintenance, Community Driven Q\&A Website, Mining Bug Reports","",""
1,"0387342257","Damiani:2006:OSS:1137827","Damiani, Ernesto; Fitzgerald, Brian; Scacchi, Walt & Scotto, Marco","Open Source Systems: IFIP Working Group 2.13 Foundation Conference on Open Source Software, June 8-10, 2006, Como, Italy (IFIP International Federation for Information Processing)","",,,"","",2006,"Secaucus, NJ, USA","","","","","","","","Springer-Verlag New York, Inc.","","","","","","","","","","",""
6,"978-1-4503-2774-9","Davies:2014:WBR:2652524.2652541","Davies, Steven & Roper, Marc","What's in a Bug Report?","",,,"","26:1--26:10",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2652524.2652541","Proceedings of the 8th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","","","ESEM '14","","ACM","","","","","","","","","bug report, bug repository, software maintenance","",""
6,"978-1-4503-0709-3","DucAnh:2011:EVH:2020390.2020403","Duc Anh, Nguyen; Cruzes, Daniela S.; Conradi, Reidar & Ayala, Claudia","Empirical Validation of Human Factors in Predicting Issue Lead Time in Open Source Projects","",,,"","13:1--13:10",2011,"New York, NY, USA","","http://doi.acm.org/10.1145/2020390.2020403","Proceedings of the 7th International Conference on Predictive Models in Software Engineering","","","Promise '11","","ACM","","","","","","","","","bug lead time, bug prediction, bug triage, classification model, empirical study, issue lead time, issue resolution time, regression model","",""
7,"","Ebert:2015:ESE:2794082.2794106","Ebert, Felipe; Castor, Fernando & Serebrenik, Alexander","An Exploratory Study on Exception Handling Bugs in Java Programs","J. Syst. Softw.",106,C,"August","82--101",2015,"New York, NY, USA","","http://dx.doi.org/10.1016/j.jss.2015.04.066","","","","","","Elsevier Science Inc.","","","","","","","","","Bugs, Exception handling, Repository mining","",""
