BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"978-1-4503-1614-9","Mani:2012:AAU:2393596.2393607","Mani, Senthil; Catherine, Rose; Sinha, Vibha Singhal & Dubey, Avinava","AUSUM: Approach for Unsupervised Bug Report Summarization","",,,"","11:1--11:11",2012,"New York, NY, USA","","http://doi.acm.org/10.1145/2393596.2393607","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","","","FSE '12","","ACM","","","","","","","","","bug report, summarization, unsupervised","",""
6,"978-1-4673-2936-1","Mani:2013:BRC:2487085.2487124","Mani, Senthil; Nagar, Seema; Mukherjee, Debdoot; Narayanam, Ramasuri; Sinha, Vibha Singhal & Nanavati, Amit A.","Bug Resolution Catalysts: Identifying Essential Non-committers from Bug Repositories","",,,"","193--202",2013,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2487085.2487124","Proceedings of the 10th Working Conference on Mining Software Repositories","","","MSR '13","","IEEE Press","","","","","","","","","","",""
6,"1-58113-963-2","Michail:2005:HUA:1062455.1062490","Michail, Amir & Xie, Tao","Helping Users Avoid Bugs in GUI Applications","",,,"","107--116",2005,"New York, NY, USA","","http://doi.acm.org/10.1145/1062455.1062490","Proceedings of the 27th International Conference on Software Engineering","","","ICSE '05","","ACM","","","","","","","","","bug prediction, bug tracking system, fault evasion, gui applications, software testing, software tools","",""
6,"978-1-4503-2768-8","Mittal:2014:PMS:2591062.2591152","Mittal, Megha & Sureka, Ashish","Process Mining Software Repositories from Student Projects in an Undergraduate Software Engineering Course","",,,"","344--353",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2591062.2591152","Companion Proceedings of the 36th International Conference on Software Engineering","","","ICSE Companion 2014","","ACM","","","","","","","","","Education Data Mining, Learning Analytic, Mining Software Repositories, Process Mining, Software Engineering Education","",""
6,"978-1-4503-3675-8","Moran:2015:EAA:2786805.2807557","Moran, Kevin","Enhancing Android Application Bug Reporting","",,,"","1045--1047",2015,"New York, NY, USA","","http://doi.acm.org/10.1145/2786805.2807557","Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering","","","ESEC/FSE 2015","","ACM","","","","","","","","","Bug reports, android, auto-completion, reproduction steps","",""
6,"978-1-4503-3675-8","Moran:2015:ABR:2786805.2786857","Moran, Kevin; Linares-V\'{a}squez, Mario; Bernal-C\'{a}rdenas, Carlos & Poshyvanyk, Denys","Auto-completing Bug Reports for Android Applications","",,,"","673--686",2015,"New York, NY, USA","","http://doi.acm.org/10.1145/2786805.2786857","Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering","","","ESEC/FSE 2015","","ACM","","","","","","","","","Bug reports, android, auto-completion, reproduction steps","",""
6,"978-1-4503-2863-0","Murgia:2014:DFE:2597073.2597086","Murgia, Alessandro; Tourani, Parastou; Adams, Bram & Ortu, Marco","Do Developers Feel Emotions? An Exploratory Analysis of Emotions in Software Artifacts","",,,"","262--271",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2597073.2597086","Proceedings of the 11th Working Conference on Mining Software Repositories","","","MSR 2014","","ACM","","","","","","","","","Emotion Mining, Empirical Software Engineer- ing, Issue Report","",""
6,"978-1-4673-2936-1","Naguib:2013:BRA:2487085.2487091","Naguib, Hoda; Narayan, Nitesh; Br\"{u}gge, Bernd & Helal, Dina","Bug Report Assignee Recommendation Using Activity Profiles","",,,"","22--30",2013,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2487085.2487091","Proceedings of the 10th Working Conference on Mining Software Repositories","","","MSR '13","","IEEE Press","","","","","","","","","","",""
6,"978-0-7695-4273-7","Netto:2010:AAS:1915078.1916019","Netto, Fernando; Barros, Marcio Oliveira & Alvim, Adriana C. F.","An Automated Approach for Scheduling Bug Fix Tasks","",,,"","80--89",2010,"Washington, DC, USA","","http://dx.doi.org/10.1109/SBES.2010.16","Proceedings of the 2010 Brazilian Symposium on Software Engineering","","","SBES '10","","IEEE Computer Society","","","","","","","","","Search based software engineering, bug resolution, task allocation","",""
6,"978-1-4503-1614-9","Nguyen:2012:MAR:2393596.2393671","Nguyen, Anh Tuan; Nguyen, Tung Thanh; Nguyen, Hoan Anh & Nguyen, Tien N.","Multi-layered Approach for Recovering Links Between Bug Reports and Fixes","",,,"","63:1--63:11",2012,"New York, NY, USA","","http://doi.acm.org/10.1145/2393596.2393671","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","","","FSE '12","","ACM","","","","","","","","","bug-to-fix links, bugs, fixes, mining software repository","",""
6,"978-1-4503-3715-1","Ortu:2015:JRD:2810146.2810147","Ortu, Marco; Destefanis, Giuseppe; Adams, Bram; Murgia, Alessandro; Marchesi, Michele & Tonelli, Roberto","The JIRA Repository Dataset: Understanding Social Aspects of Software Development","",,,"","1:1--1:4",2015,"New York, NY, USA","","http://doi.acm.org/10.1145/2810146.2810147","Proceedings of the 11th International Conference on Predictive Models and Data Analytics in Software Engineering","","","PROMISE '15","","ACM","","","","","","","","","Affective Analysis, Issue Report, Mining software repository","",""
6,"978-1-4503-0709-3","Prifti:2011:DBD:2020390.2020398","Prifti, Tomi; Banerjee, Sean & Cukic, Bojan","Detecting Bug Duplicate Reports Through Local References","",,,"","8:1--8:9",2011,"New York, NY, USA","","http://doi.acm.org/10.1145/2020390.2020398","Proceedings of the 7th International Conference on Predictive Models in Software Engineering","","","Promise '11","","ACM","","","","","","","","","bug tacking systems, duplicate bug reports, software maintenance, software quality","",""
6,"978-1-4503-1987-4","Rastogi:2013:SMI:2442754.2442757","Rastogi, Ayushi; Gupta, Arpit & Sureka, Ashish","Samiksha: Mining Issue Tracking System for Contribution and Performance Assessment","",,,"","13--22",2013,"New York, NY, USA","","http://doi.acm.org/10.1145/2442754.2442757","Proceedings of the 6th India Software Engineering Conference","","","ISEC '13","","ACM","","","","","","","","","developer contribution assessment, issue tracking system, mining software repositories, software maintenance","",""
6,"978-1-4503-3350-4","Romo:2015:TAT:2745802.2745833","Romo, Bilyaminu Auwal & Capiluppi, Andrea","Towards an Automation of the Traceability of Bugs from Development Logs: A Study Based on Open Source Software","",,,"","33:1--33:6",2015,"New York, NY, USA","","http://doi.acm.org/10.1145/2745802.2745833","Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering","","","EASE '15","","ACM","","","","","","","","","bug accuracy, bug traceability, bug-fixing commits","",""
6,"978-1-4503-3016-9","Romo:2014:FGD:2641580.2641592","Romo, Bilyaminu Auwal; Capiluppi, Andrea & Hall, Tracy","Filling the Gaps of Development Logs and Bug Issue Data","",,,"","8:1--8:4",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2641580.2641592","Proceedings of The International Symposium on Open Collaboration","","","OpenSym '14","","ACM","","","","","","","","","Bug traceability, bug-fixing commits","",""
7,"","Saha:2015:UTF:2791609.2792085","Saha, Ripon K.; Khurshid, Sarfraz & Perry, Dewayne E.","Understanding the Triaging and Fixing Processes of Long Lived Bugs","Inf. Softw. Technol.",65,C,"September","114--128",2015,"Newton, MA, USA","","http://dx.doi.org/10.1016/j.infsof.2015.03.002","","","","","","Butterworth-Heinemann","","","","","","","","","Bug survival time, Bug tracking, Bug triaging","",""
6,"","Saha:2015:TBR:2820518.2820550","Saha, Ripon K.; Lawall, Julia; Khurshid, Sarfraz & Perry, Dewayne E.","Are These Bugs Really "Normal"?","",,,"","258--268",2015,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2820518.2820550","Proceedings of the 12th Working Conference on Mining Software Repositories","","","MSR '15","","IEEE Press","","","","","","","","","bug severity, bug tracking system, mining software repositories","",""
6,"978-0-7695-5594-2","Saha:2015:TBR:2865656.2866147","Saha, Ripon K.; Lawall, Julia; Khurshid, Sarfraz & Perry, Dewayne E.","Are These Bugs Really "Normal"?","",,,"","258--268",2015,"Washington, DC, USA","","http://dx.doi.org/10.1109/MSR.2015.31","Proceedings of the 2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","","","MSR '15","","IEEE Computer Society","","","","","","","","","Bug Severity, Bug Tracking System, Mining Software Repositories","",""
6,"978-1-4799-6146-7","Sasso:2014:MSD:2705615.2706091","Sasso, Tommaso Dal","Managing Software Defects","",,,"","669--",2014,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICSME.2014.124","Proceedings of the 2014 IEEE International Conference on Software Maintenance and Evolution","","","ICSME '14","","IEEE Computer Society","","","","","","","","","","",""
6,"978-0-7695-4959-0","Shokripour:2012:ABA:2494763.2495002","Shokripour, Ramin; Kasirun, Zarinah M.; Zamani, Sima & Anvik, John","Automatic Bug Assignment Using Information Extraction Methods","",,,"","144--149",2012,"Washington, DC, USA","","http://dx.doi.org/10.1109/ACSAT.2012.56","Proceedings of the 2012 International Conference on Advanced Computer Science Applications and Technologies","","","ACSAT '12","","IEEE Computer Society","","","","","","","","","Bug Assignment, Information Extraction, Named Entity Recognition, File Activity Histories","",""
6,"978-1-4503-1142-7","Somasundaram:2012:ACB:2134254.2134276","Somasundaram, Kalyanasundaram & Murphy, Gail C.","Automatic Categorization of Bug Reports Using Latent Dirichlet Allocation","",,,"","125--130",2012,"New York, NY, USA","","http://doi.acm.org/10.1145/2134254.2134276","Proceedings of the 5th India Software Engineering Conference","","","ISEC '12","","ACM","","","","","","","","","component recommendation, recommendation system, software bug triage","",""
6,"978-1-60558-719-6","Song:2010:JDD:1810295.1810368","Song, Yoonki; Wang, Xiaoyin; Xie, Tao; Zhang, Lu & Mei, Hong","JDF: Detecting Duplicate Bug Reports in Jazz","",,,"","315--316",2010,"New York, NY, USA","","http://doi.acm.org/10.1145/1810295.1810368","Proceedings of the 32Nd ACM/IEEE International Conference on Software Engineering - Volume 2","","","ICSE '10","","ACM","","","","","","","","","bug report, execution information, information retrieval","",""
6,"978-1-4577-1638-6","Sun:2011:TMA:2190078.2190180","Sun, Chengnian; Lo, David; Khoo, Siau-Cheng & Jiang, Jing","Towards More Accurate Retrieval of Duplicate Bug Reports","",,,"","253--262",2011,"Washington, DC, USA","","http://dx.doi.org/10.1109/ASE.2011.6100061","Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering","","","ASE '11","","IEEE Computer Society","","","","","","","","","","",""
6,"978-1-60558-719-6","Sun:2010:DMA:1806799.1806811","Sun, Chengnian; Lo, David; Wang, Xiaoyin; Jiang, Jing & Khoo, Siau-Cheng","A Discriminative Model Approach for Accurate Duplicate Bug Report Retrieval","",,,"","45--54",2010,"New York, NY, USA","","http://doi.acm.org/10.1145/1806799.1806811","Proceedings of the 32Nd ACM/IEEE International Conference on Software Engineering - Volume 1","","","ICSE '10","","ACM","","","","","","","","","","",""
7,"","Tappolet:2010:SWE:1833903.1834015","Tappolet, Jonas; Kiefer, Christoph & Bernstein, Abraham","Semantic Web Enabled Software Analysis","Web Semant.",8,2-3,"July","225--240",2010,"Amsterdam, The Netherlands, The Netherlands","","http://dx.doi.org/10.1016/j.websem.2010.04.009","","","","","","Elsevier Science Publishers B. V.","","","","","","","","","Bug prediction, Software comprehension framework, Software evolution, Software release similarity","",""
6,"978-1-4503-3013-8","Thung:2014:DIT:2642937.2648627","Thung, Ferdian; Kochhar, Pavneet Singh & Lo, David","DupFinder: Integrated Tool Support for Duplicate Bug Report Detection","",,,"","871--874",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2642937.2648627","Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering","","","ASE '14","","ACM","","","","","","","","","bugzilla, duplicate bug reports, integrated tool support","",""
6,"978-1-4503-3056-5","Thung:2014:BIT:2635868.2661678","Thung, Ferdian; Le, Tien-Duy B.; Kochhar, Pavneet Singh & Lo, David","BugLocalizer: Integrated Tool Support for Bug Localization","",,,"","767--770",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2635868.2661678","Proceedings of the 22Nd ACM SIGSOFT International Symposium on Foundations of Software Engineering","","","FSE 2014","","ACM","","","","","","","","","Bug localization, Bugzilla, git","",""
6,"978-0-7695-4981-1","Tian:2013:DPP:2550526.2550574","Tian, Yuan; Lo, David & Sun, Chengnian","DRONE: Predicting Priority of Reported Bugs by Multi-factor Analysis","",,,"","200--209",2013,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICSM.2013.31","Proceedings of the 2013 IEEE International Conference on Software Maintenance","","","ICSM '13","","IEEE Computer Society","","","","","","","","","","",""
7,"","Tian:2015:APB:2821954.2821959","Tian, Yuan; Lo, David; Xia, Xin & Sun, Chengnian","Automated Prediction of Bug Report Priority Using Multi-factor Analysis","Empirical Softw. Engg.",20,5,"October","1354--1383",2015,"Hingham, MA, USA","","http://dx.doi.org/10.1007/s10664-014-9331-y","","","","","","Kluwer Academic Publishers","","","","","","","","","Bug report management, Multi-factor analysis, Priority prediction","",""
6,"978-0-7695-4666-7","Tian:2012:IDB:2191744.2192585","Tian, Yuan; Sun, Chengnian & Lo, David","Improved Duplicate Bug Report Identification","",,,"","385--390",2012,"Washington, DC, USA","","http://dx.doi.org/10.1109/CSMR.2012.48","Proceedings of the 2012 16th European Conference on Software Maintenance and Reengineering","","","CSMR '12","","IEEE Computer Society","","","","","","","","","Duplicate bug reports, relative similarity, Bugzilla","",""
6,"978-1-4673-9581-6","Tong:2015:CPB:2867542.2867798","Tong, Jia; Ying, Li; Xiaoyong, Yuan; Hongyan, Tang & Zhonghai, Wu","Characterizing and Predicting Bug Assignment in OpenStack","",,,"","16--23",2015,"Washington, DC, USA","","http://dx.doi.org/10.1109/TSA.2015.14","Proceedings of the 2015 Second International Conference on Trustworthy Systems and Their Applications","","","TSA '15","","IEEE Computer Society","","","","","","","","","open source, cloud computing, bug assignment, long tail","",""
6,"978-1-4503-3303-0","Tu:2014:MQI:2677832.2677844","Tu, Feifei & Zhang, Feixue","Measuring the Quality of Issue Tracking Data","",,,"","76--79",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2677832.2677844","Proceedings of the 6th Asia-Pacific Symposium on Internetware on Internetware","","","INTERNETWARE 2014","","ACM","","","","","","","","","Data Quality, Issue Report, Quality Evaluator","",""
6,"978-1-4673-7532-0","Vahabzadeh:2015:ESB:2881297.2881370","Vahabzadeh, Arash; Fard, Amin Milani & Mesbah, Ali","An Empirical Study of Bugs in Test Code","",,,"","101--110",2015,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICSM.2015.7332456","Proceedings of the 2015 IEEE International Conference on Software Maintenance and Evolution (ICSME)","","","ICSME '15","","IEEE Computer Society","","","","","","","","","","",""
6,"978-1-4503-2863-0","ValdiviaGarcia:2014:CPB:2597073.2597099","Valdivia Garcia, Harold & Shihab, Emad","Characterizing and Predicting Blocking Bugs in Open Source Projects","",,,"","72--81",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2597073.2597099","Proceedings of the 11th Working Conference on Mining Software Repositories","","","MSR 2014","","ACM","","","","","","","","","Code Metrics, Post-release Defects, Process Metrics","",""
6,"978-1-4799-3966-4","Vijayakumar:2014:MEN:2624299.2624394","Vijayakumar, K. & Bhuvaneswari, V.","How Much Effort Needed to Fix the Bug? A Data Mining Approach for Effort Estimation and Analysing of Bug Report Attributes in Firefox","",,,"","335--339",2014,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICICA.2014.75","Proceedings of the 2014 International Conference on Intelligent Computing Applications","","","ICICA '14","","IEEE Computer Society","","","","","","","","","data mining, association rules, component, Bugzilla, bug report, severity, repository","",""
6,"978-1-4503-2253-9","Vyas:2013:ESM:2525194.2525269","Vyas, Dhaval","Ethnography of Software Maintenance Activities in an Industrial Engineering Setup","",,,"","242--246",2013,"New York, NY, USA","","http://doi.acm.org/10.1145/2525194.2525269","Proceedings of the 11th Asia Pacific Conference on Computer Human Interaction","","","APCHI '13","","ACM","","","","","","","","","design, ethnography, software bug-fixing","",""
6,"978-1-4503-0576-1","Wang:2011:BIF:1984642.1984661","Wang, Jianguo & Sarma, Anita","Which Bug Should I Fix: Helping New Developers Onboard a New Project","",,,"","76--79",2011,"New York, NY, USA","","http://doi.acm.org/10.1145/1984642.1984661","Proceedings of the 4th International Workshop on Cooperative and Human Aspects of Software Engineering","","","CHASE '11","","ACM","","","","","","","","","bug search, new developer, socio-technical dependency","",""
7,"","Wang:2015:CCS:2829386.2829718","Wang, Jing; Shih, Patrick C.; Wu, Yu & Carroll, John M.","Comparative Case Studies of Open Source Software Peer Review Practices","Inf. Softw. Technol.",67,C,"November","1--12",2015,"Newton, MA, USA","","http://dx.doi.org/10.1016/j.infsof.2015.06.002","","","","","","Butterworth-Heinemann","","","","","","","","","Design, Open source software, Software peer review, Virtual community","",""
6,"978-1-60558-079-1","Wang:2008:ADD:1368088.1368151","Wang, Xiaoyin; Zhang, Lu; Xie, Tao; Anvik, John & Sun, Jiasu","An Approach to Detecting Duplicate Bug Reports Using Natural Language and Execution Information","",,,"","461--470",2008,"New York, NY, USA","","http://doi.acm.org/10.1145/1368088.1368151","Proceedings of the 30th International Conference on Software Engineering","","","ICSE '08","","ACM","","","","","","","","","duplicate bug report, execution information, information retrieval","",""
6,"0-7695-2830-9","Weiss:2007:LTF:1260984.1261302","Weiss, Cathrin; Premraj, Rahul; Zimmermann, Thomas & Zeller, Andreas","How Long Will It Take to Fix This Bug?","",,,"","1--",2007,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICSEW.2007.116","Proceedings of the 29th International Conference on Software Engineering Workshops","","","ICSEW '07","","IEEE Computer Society","","","","","","","","","","",""
6,"0-7695-2950-X","Weiss:2007:LTF:1268983.1269017","Weiss, Cathrin; Premraj, Rahul; Zimmermann, Thomas & Zeller, Andreas","How Long Will It Take to Fix This Bug?","",,,"","1--",2007,"Washington, DC, USA","","http://dx.doi.org/10.1109/MSR.2007.13","Proceedings of the Fourth International Workshop on Mining Software Repositories","","","MSR '07","","IEEE Computer Society","","","","","","","","","","",""
6,"","White:2015:GRR:2820282.2820291","White, Martin; Linares-V\'{a}squez, Mario; Johnson, Peter; Bernal-C\'{a}rdenas, Carlos & Poshyvanyk, Denys","Generating Reproducible and Replayable Bug Reports from Android Application Crashes","",,,"","48--59",2015,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2820282.2820291","Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension","","","ICPC '15","","IEEE Press","","","","","","","","","Android, crash and bug reports, reproducibility","",""
6,"978-1-4673-8159-8","White:2015:GRR:2862749.2863013","White, Martin; Linares-Vásquez, Mario; Johnson, Peter; Bernal-Cárdenas, Carlos & Poshyvanyk, Denys","Generating Reproducible and Replayable Bug Reports from Android Application Crashes","",,,"","48--59",2015,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICPC.2015.14","Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension","","","ICPC '15","","IEEE Computer Society","","","","","","","","","Android, crash and bug reports, reproducibility","",""
6,"978-1-4799-6146-7","Wong:2014:BBF:2705615.2706096","Wong, Chu-Pan; Xiong, Yingfei; Zhang, Hongyu; Hao, Dan; Zhang, Lu & Mei, Hong","Boosting Bug-Report-Oriented Fault Localization with Segmentation and Stack-Trace Analysis","",,,"","181--190",2014,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICSME.2014.40","Proceedings of the 2014 IEEE International Conference on Software Maintenance and Evolution","","","ICSME '14","","IEEE Computer Society","","","","","","","","","fault localization, bug report, feature location, information retrieval","",""
7,"","Xia:2015:AHA:2737603.2737646","Xia, Xin; Lo, David; Shihab, Emad; Wang, Xinyu & Zhou, Bo","Automatic, High Accuracy Prediction of Reopened Bugs","Automated Software Engg.",22,1,"March","75--109",2015,"Hingham, MA, USA","","http://dx.doi.org/10.1007/s10515-014-0162-2","","","","","","Kluwer Academic Publishers","","","","","","","","","Imbalanced feature selection, Imbalanced learning, Reopened bugs","",""
6,"978-1-4673-1067-3","Xuan:2012:DPB:2337223.2337227","Xuan, Jifeng; Jiang, He; Ren, Zhilei & Zou, Weiqin","Developer Prioritization in Bug Repositories","",,,"","25--35",2012,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2337223.2337227","Proceedings of the 34th International Conference on Software Engineering","","","ICSE '12","","IEEE Press","","","","","","","","","","",""
6,"978-1-4673-3076-3","Zanetti:2013:CBS:2486788.2486930","Zanetti, Marcelo Serrano; Scholtes, Ingo; Tessone, Claudio Juan & Schweitzer, Frank","Categorizing Bugs with Social Networks: A Case Study on Four Open Source Software Communities","",,,"","1032--1041",2013,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2486788.2486930","Proceedings of the 2013 International Conference on Software Engineering","","","ICSE '13","","IEEE Press","","","","","","","","","","",""
6,"978-0-7695-4388-8","Zhang:2011:BRB:2055440.2055904","Zhang, Tao & Lee, Byungjeong","A Bug Rule Based Technique with Feedback for Classifying Bug Reports","",,,"","336--343",2011,"Washington, DC, USA","","http://dx.doi.org/10.1109/CIT.2011.90","Proceedings of the 2011 IEEE 11th International Conference on Computer and Information Technology","","","CIT '11","","IEEE Computer Society","","","","","","","","","bug report classification, bug tracking system, developer feedback, software maintenance","",""
7,"","Zhang:2016:KSA:2873074.2873292","Zhang, Wen; Wang, Song & Wang, Qing","KSAP","Inf. Softw. Technol.",70,C,"February","68--84",2016,"Newton, MA, USA","","http://dx.doi.org/10.1016/j.infsof.2015.10.004","","","","","","Butterworth-Heinemann","","","","","","","","","Bug report assignment, Developer recommendation, Heterogeneous network, Heterogeneous proximity","",""
6,"978-0-7695-5157-9","Zhang:2013:HNA:2569431.2569763","Zhang, Wen; Wang, Song; Yang, Ye & Wang, Qing","Heterogeneous Network Analysis of Developer Contribution in Bug Repositories","",,,"","98--105",2013,"Washington, DC, USA","","http://dx.doi.org/10.1109/CSC.2013.23","Proceedings of the 2013 International Conference on Cloud and Service Computing","","","CSC '13","","IEEE Computer Society","","","","","","","","","bug triage, developer contribution, heterogeneous network","",""
7,"","Zimmermann:2010:MGB:1907658.1908089","Zimmermann, Thomas; Premraj, Rahul; Bettenburg, Nicolas; Just, Sascha; Schroter, Adrian & Weiss, Cathrin","What Makes a Good Bug Report?","IEEE Trans. Softw. Eng.",36,5,"September","618--643",2010,"Piscataway, NJ, USA","","http://dx.doi.org/10.1109/TSE.2010.63","","","","","","IEEE Press","","","","","","","","","Testing and debugging, Testing and debugging, distribution, maintenance, and enhancement, human factors, management, measurement., and enhancement, distribution, human factors, maintenance, management, measurement.","",""
