"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AGT6CV2P","conferencePaper","2013","Baysal, Olga","Informing Development Decisions: From Data to Information","Proceedings of the 2013 International Conference on Software Engineering","978-1-4673-3076-3","","","http://dl.acm.org/citation.cfm?id=2486788.2487019","","2013","2016-03-14 21:40:12","2016-03-14 21:40:12","","1407–1410","","","","","","","ICSE '13","","","","IEEE Press","Piscataway, NJ, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPUSX3BJ","conferencePaper","2012","Zaman, Shahed; Adams, Bram; Hassan, Ahmed E.","A Qualitative Study on Performance Bugs","Proceedings of the 9th IEEE Working Conference on Mining Software Repositories","978-1-4673-1761-0","","","http://dl.acm.org/citation.cfm?id=2664446.2664477","","2012","2016-03-14 21:40:12","2016-03-14 21:40:12","","199–208","","","","","","","MSR '12","","","","IEEE Press","Piscataway, NJ, USA","","","","","","","","","","","","Chromium; Mozilla Firefox; Performance Bugs; qualitative study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMGGTPW6","conferencePaper","2007","Shepherd, David; Fry, Zachary P.; Hill, Emily; Pollock, Lori; Vijay-Shanker, K.","Using Natural Language Program Analysis to Locate and Understand Action-oriented Concerns","Proceedings of the 6th International Conference on Aspect-oriented Software Development","1-59593-615-7","","10.1145/1218563.1218587","http://doi.acm.org/10.1145/1218563.1218587","","2007","2016-03-14 21:40:12","2016-03-14 21:40:12","","212–224","","","","","","","AOSD '07","","","","ACM","New York, NY, USA","","","","","","","","","","","","feature location; program analysis; remodularization; reverse engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGQW7ZDP","conferencePaper","2014","Zimmermann, Thomas","Confessions of an Industrial Researcher: A Typical Bollywood Story (Invited Talk)","Proceedings of the 1st International Workshop on Software Engineering Research and Industrial Practices","978-1-4503-2859-3","","10.1145/2593850.2593851","http://doi.acm.org/10.1145/2593850.2593851","","2014","2016-03-14 21:40:12","2016-03-14 21:40:12","","1–1","","","","","","","SER&#38;IPs 2014","","","","ACM","New York, NY, USA","","","","","","","","","","","","Analytics; Analyzing Software Data; Data Science; Industrial Research; software engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSRBRUUA","conferencePaper","2013","Son, Sooel; McKinley, Kathryn S.; Shmatikov, Vitaly","Diglossia: detecting code injection attacks with precision and efficiency","Proceedings of the 2013 ACM SIGSAC conference on Computer &#38; communications security","978-1-4503-2477-9","","10.1145/2508859.2516696","http://doi.acm.org/10.1145/2508859.2516696","","2013","2016-03-14 21:40:13","2016-03-14 21:41:02","","1181–1192","","","","","","","CCS '13","","","","ACM","New York, NY, USA","","","","","","","","","","","","code injection; dynamic analysis; nosql injection; sql injection; taint tracking; web application security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D2VQ8W7E","conferencePaper","2014","Muntean, Paul; Eckert, Claudia; Ibing, Andreas","Context-sensitive Detection of Information Exposure Bugs with Symbolic Execution","Proceedings of the International Workshop on Innovative Software Development Methodologies and Practices","978-1-4503-3226-2","","10.1145/2666581.2666591","http://doi.acm.org/10.1145/2666581.2666591","","2014","2016-03-14 21:40:13","2016-03-14 21:40:13","","84–93","","","","","","","InnoSWDev 2014","","","","ACM","New York, NY, USA","","","","","","","","","","","","information-flow; integrated development environment; software bugs; software testing; static taint analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXG6QUIR","conferencePaper","2010","Murgia, Alessandro; Concas, Giulio; Marchesi, Michele; Tonelli, Roberto","A Machine Learning Approach for Text Categorization of Fixing-issue Commits on CVS","Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement","978-1-4503-0039-1","","10.1145/1852786.1852794","http://doi.acm.org/10.1145/1852786.1852794","","2010","2016-03-14 21:40:13","2016-03-14 21:40:13","","6:1–6:10","","","","","","","ESEM '10","","","","ACM","New York, NY, USA","","","","","","","","","","","","classifier; data mining; machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBS4W3GK","conferencePaper","2012","Servant, Francisco; Jones, James A.","WhoseFault: Automatic Developer-to-fault Assignment Through Fault Localization","Proceedings of the 34th International Conference on Software Engineering","978-1-4673-1067-3","","","http://dl.acm.org/citation.cfm?id=2337223.2337228","","2012","2016-03-14 21:40:13","2016-03-14 21:40:13","","36–46","","","","","","","ICSE '12","","","","IEEE Press","Piscataway, NJ, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTSQ297I","conferencePaper","2012","Kasikci, Baris; Zamfir, Cristian; Candea, George","Data Races vs. Data Race Bugs: Telling the Difference with Portend","Proceedings of the Seventeenth International Conference on Architectural Support for Programming Languages and Operating Systems","978-1-4503-0759-8","","10.1145/2150976.2150997","http://doi.acm.org/10.1145/2150976.2150997","","2012","2016-03-14 21:40:13","2016-03-14 21:40:13","","185–198","","","","","","","ASPLOS XVII","","","","ACM","New York, NY, USA","","","","","","","","","","","","concurrency; data races; Testing; triage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INHVT6CS","journalArticle","2012","Kasikci, Baris; Zamfir, Cristian; Candea, George","Data Races vs. Data Race Bugs: Telling the Difference with Portend","SIGARCH Comput. Archit. News","","0163-5964","10.1145/2189750.2150997","http://doi.acm.org/10.1145/2189750.2150997","","2012-03","2016-03-14 21:40:13","2016-03-14 21:40:13","","185–198","","1","40","","","","","","","","","","","","","","","","","","","","","concurrency; data races; Testing; triage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
