funcionalidade,total
Análise Automática de Impacto de RM,18
Atribuição Automática de RM,20
Análise Automática de Esforço,15
Análise Automática do Relato da RM,13
Identificação Automática de RM’s Duplicadas,42
Nã há funcionalidade do qual sinta falta,13
Lista de itens que eu tenha trabalhado anteriormente,1
Suporte à Integração Contínua,4
