ferramenta_utilizada,total
Asana,1
Basecamp,1
Bitbucket,2
Bugzilla,3
CRMS,1
Da própria organização,3
devTrack,1
Dreamweaver,1
Ecplipse,1
FogBugz,1
GitHub,10
Gitlab,1
IBM RTC,1
Jira,17
Microsoft Team Foundation Server,1
Redmine,1
Swiftalm,1
Taiga,1
TFS,1
TODO list,1
Trac,1
Trello,6
VIM,1
Visual studio,1
Xcode,1
